category,likelihood
all restaurants,0.95
Food and beverage distributors,0.93
Dried seafood store,0.93
Food and beverage exporter,0.93
Food and beverage consultant,0.93
Food bank,0.93
Food broker,0.93
Food court,0.93
Food and drink,0.93
Art cafe,0.93
Food,0.93
Cosplay cafe,0.93
Tea and coffee merchant,0.93
Ethnic foods,0.93
Staple food package,0.93
Dog cafe,0.93
Food machinery supplier,0.93
Food delivery,0.93
Catering food and drink supplier,0.93
Food manufacturer,0.93
Cafeteria,0.93
Organic food store,0.93
Pet food and animal feeds,0.93
Pizza,0.93
Japanese food,0.93
Internet cafe,0.93
Health food store,0.93
Cafe,0.93
Seafood,0.93
Seafood farm,0.93
Frozen food store,0.93
Food manufacturing supply,0.93
Frozen food manufacturer,0.93
Fresh food market,0.93
Seafood wholesaler,0.93
Food store,0.93
Vegetarian cafe and deli,0.93
Food seasoning manufacturer,0.93
Food products supplier,0.93
Food products,0.93
Food production,0.93
Food producer,0.93
Food processing equipment,0.93
Food processing company,0.93
Food service,0.93
Seafood market,0.93
Coffee stand,0.93
Comic cafe,0.93
Wholesale food store,0.93
Coffee wholesaler,0.93
Chocolate cafe,0.93
Chinese food,0.93
Coffee store,0.93
Coffee vending machine,0.93
Childrens cafe,0.93
Coffee shop,0.93
Coffee roasters,0.93
Coffee machine supplier,0.93
Coffee,0.93
Juice shop,0.9
Gay bar,0.88
Wine bar,0.88
Barbecue area,0.88
Tapas bar,0.88
Cabaret club,0.88
Salsa bar,0.88
Espresso bar,0.88
Gym,0.88
Rock climbing gym,0.88
Clergyman,0.88
Gymnastics center,0.88
Gymnastics club,0.88
Gymnasium school,0.88
Fitness center,0.88
Barber school,0.88
Fitness equipment wholesaler,0.88
Eyebrow bar,0.88
Bark supplier,0.88
Snack bar,0.88
Sports bar,0.88
Bariatric surgeon,0.88
Bar & grill,0.88
Stand bar,0.88
Barber supply store,0.88
Military barracks,0.88
Barn,0.88
Barrel supplier,0.88
Barrister,0.88
Subaru dealer,0.88
Bar stool supplier,0.88
Barber shop,0.88
Cocktail bar,0.88
Bartending school,0.88
Dart bar,0.88
Cider bar,0.88
Muay Thai boxing gym,0.88
Karaoke bar,0.88
Live music bar,0.88
Hookah bar,0.88
Piano bar,0.88
Physical fitness program,0.88
Boxing gym,0.88
Tiki bar,0.88
Pre gymnasium school,0.88
Poke bar,0.88
Ice cream shop,0.88
Ice cream equipment supplier,0.88
Bar,0.88
Auto glass shop,0.87
Skin care clinic,0.87
Auto insurance agency,0.87
Auto upholsterer,0.87
Auto part and accessory manufacturer,0.87
Self service car wash,0.87
Child health care centre,0.87
Chess and card club,0.87
Skin care,0.87
Auto electrical service,0.87
Auto parts manufacturer,0.87
Pregnancy care center,0.87
Child care agency,0.87
Race car dealer,0.87
Auto painting,0.87
Model car play area,0.87
Auto window tinting service,0.87
Cash and carry wholesaler,0.87
Automotive,0.87
Eye care,0.87
Eye care center,0.87
Automobile storage facility,0.87
Automation company,0.87
Car wash,0.87
Smart Car dealer,0.87
Auto market,0.87
Family day care service,0.87
Skin care products vending machine,0.87
Auto machine shop,0.87
Lawn care service,0.87
Pediatric cardiologist,0.87
Auto tune up service,0.87
Auto body parts supplier,0.87
Greeting card shop,0.87
Grill,0.87
Grill store,0.87
Pet care service,0.87
Auto broker,0.87
Auto bodywork mechanic,0.87
Auto body shop,0.87
Auto repair shop,0.87
Auto tag agency,0.87
Auto radiator repair service,0.87
Pet care,0.87
Auto parts market,0.87
Auto accessories wholesaler,0.87
Auto air conditioning service,0.87
Auto parts store,0.87
Auto auction,0.87
Business card design and printing service,0.87
Golf cart dealer,0.87
Cable car station,0.87
Home automation company,0.87
Part time daycare,0.87
Racing car parts store,0.87
Auto dent removal service,0.87
Cars,0.87
Auto chemistry shop,0.87
Car security system installer,0.87
Car sharing location,0.87
Auto spring shop,0.87
Foot care,0.87
Horse carriage station,0.87
Foster care service,0.87
Home health care service,0.87
Car stereo store,0.87
Auto restoration service,0.87
Gas and automotive,0.87
Auto sunroof shop,0.87
Hair care,0.87
Day care center,0.87
Car care,0.87
Car dealer,0.87
Car detailing service,0.87
Cardiologist,0.87
Dog care,0.87
Adult foster care service,0.87
Cardiovascular and thoracic surgeon,0.87
Career guidance service,0.87
DS Automobiles dealer,0.87
Carpenter,0.87
Carpet store,0.87
Car manufacturer,0.87
Denture care center,0.87
Auto wrecker,0.87
Carpet wholesaler,0.87
Car rental agency,0.87
Aged care,0.87
Car repair and maintenance,0.87
Car rental,0.87
Tuning automobile,0.87
Car leasing service,0.87
Care services,0.87
Car factory,0.87
Carriage ride service,0.87
Car inspection station,0.87
Car racing track,0.87
Car finance and loan company,0.87
Urgent care center,0.87
Used auto parts store,0.87
Mountain cable car,0.87
Car accessories store,0.87
Carpet manufacturer,0.87
Car alarm supplier,0.87
Adult day care center,0.87
Toner cartridge supplier,0.87
Youth care,0.87
Carpool,0.87
Trading card store,0.87
Carport and pergola builder,0.87
Emergency care service,0.87
Emergency care physician,0.87
Veterinary care,0.87
Sports card store,0.87
Dog day care center,0.87
Used car dealer,0.87
Carpet installer,0.87
Carpet cleaning service,0.87
Student career counseling office,0.87
Stone carving,0.87
Car battery store,0.87
Pressure washing service,0.85
Frozen yogurt shop,0.85
Washer & dryer repair service,0.85
Washer & dryer store,0.85
Martial arts,0.84
Real estate attorney,0.84
Boiler supplier,0.84
Oil and gas exploration service,0.84
Topsoil supplier,0.84
Oil refinery,0.84
Martial arts supply store,0.84
Martial arts club,0.84
Real estate appraiser,0.84
Oil field equipment supplier,0.84
Real estate agents,0.84
Real estate agency,0.84
Oil change service,0.84
Martial arts school,0.84
Oilfield,0.84
Oil & natural gas company,0.84
Real estate rental agency,0.84
Commercial real estate inspector,0.84
Real estate surveyor,0.84
Portable toilet supplier,0.84
Olive oil manufacturer,0.84
Olive oil bottling company,0.84
Heating oil supplier,0.84
Toiletries store,0.84
Real estate rental,0.84
Real estate fair,0.84
Real estate developer,0.84
Olive oil cooperative,0.84
Commercial real estate agency,0.84
Real estate,0.84
Soil testing service,0.84
Oil store,0.84
Real estate consultant,0.84
Oil wholesaler,0.84
Real estate auctioneer,0.84
Industrial real estate agency,0.84
Real estate school,0.84
Children's clothing store,0.83
Children hall,0.83
Children Policlinic,0.83
Child psychologist,0.83
Children's furniture store,0.83
Children's amusement center,0.83
Childrens farm,0.83
Childrens book store,0.83
Child psychiatrist,0.83
Childrens club,0.83
Childrens theater,0.83
Childrens party buffet,0.83
Children's hospital,0.83
Preschool,0.83
Children's museum,0.83
Childrens store,0.83
Childrens library,0.83
Childbirth class,0.83
Children's party service,0.83
Childrens home,0.83
Upholstery cleaning service,0.8
House cleaning service,0.8
Bilingual school,0.8
Ballet school,0.8
Preparatory school,0.8
Blast cleaning service,0.8
Blind school,0.8
Tutoring service,0.8
Judo school,0.8
Kung fu school,0.8
Jujitsu school,0.8
Pool cleaning service,0.8
Computer training school,0.8
Vacuum cleaning system supplier,0.8
Religious school,0.8
Adult education school,0.8
Karate school,0.8
Kickboxing school,0.8
Play school,0.8
Primary school,0.8
Trucking school,0.8
International school,0.8
Horse riding school,0.8
After school program,0.8
Commercial cleaning service,0.8
Hotel management school,0.8
Boys' high school,0.8
Training school,0.8
Baby swimming school,0.8
Cooking school,0.8
Law school,0.8
Leather cleaning service,0.8
Insurance school,0.8
High school,0.8
Beach cleaning service,0.8
Photography school,0.8
Language school,0.8
Boarding school,0.8
Private tutor,0.8
Trade school,0.8
Charter school,0.8
Culinary school,0.8
Modeling school,0.8
Higher secondary school,0.8
Senior high school,0.8
Self defense school,0.8
Folk high school,0.8
Mathematics school,0.8
Taekwondo school,0.8
Cleaning service,0.8
Cleaning products supplier,0.8
Drum school,0.8
Tai chi school,0.8
Water tank cleaning service,0.8
Beauty school,0.8
Driving school,0.8
Drivers license training school,0.8
Window cleaning service,0.8
Waldorf school,0.8
Drama school,0.8
Curtain and upholstery cleaning service,0.8
Chinese language school,0.8
Flight school,0.8
Swimming school,0.8
Foreign languages program school,0.8
Art school,0.8
Catholic school,0.8
Architecture school,0.8
English language school,0.8
Special education school,0.8
Engineering school,0.8
Emergency training school,0.8
Elementary school,0.8
Sports school,0.8
Farm school,0.8
Ski school,0.8
Fashion design school,0.8
Study at home school,0.8
Fencing school,0.8
Middle school,0.8
Co-ed school,0.8
Medical school,0.8
Surf school,0.8
Montessori school,0.8
Massage school,0.8
Wrestling school,0.8
Government school,0.8
Vocational school,0.8
Samba school,0.8
Gutter cleaning service,0.8
Capoeira school,0.8
Community school,0.8
Dental school,0.8
Music school,0.8
Sailing school,0.8
Handicraft school,0.8
Nursing school,0.8
Technical school,0.8
Parochial school,0.8
Nursery school,0.8
Dance school,0.8
Management school,0.8
Air duct cleaning service,0.8
Aikido school,0.8
Graduate school,0.8
School,0.8
School administrator,0.8
School dentist,0.8
French language school,0.8
School supply store,0.8
Motorcycle driving school,0.8
School lunch center,0.8
Acupuncture school,0.8
German language school,0.8
School house,0.8
School for the deaf,0.8
School district office,0.8
Girls' high school,0.8
Business school,0.8
School center,0.8
School bus service,0.8
Beauty product supplier,0.79
Beauty products vending machine,0.79
Newspaper publisher,0.79
Medical spa,0.79
Beauty,0.79
Museum of space history,0.79
Office space rental agency,0.79
Natural beauty spot,0.79
Massage spa,0.79
Makerspace,0.79
Beauty products wholesaler,0.79
Beauty salon,0.79
Newspaper advertising department,0.79
Retail space rental agency,0.79
Health spa,0.79
Public parking space,0.79
Spa,0.79
Facial spa,0.79
Classified ads newspaper publisher,0.79
Hispanic church,0.79
Spa and health club,0.79
Coworking space,0.79
Spa garden,0.79
Hot bedstone spa,0.79
Aerospace company,0.79
Newspaper distribution,0.79
Day spa,0.79
Health and beauty shop,0.79
Health and beauty,0.79
Beauty supply store,0.79
Spa town,0.79
Nail salon,0.78
Hair salon,0.78
Fencing salon,0.78
Janitorial service,0.78
Janitorial equipment supplier,0.78
Tanning salon,0.78
Eyelash salon,0.78
Taekwondo competition area,0.77
Boarding house,0.77
Cat boarding service,0.77
Swimming competition,0.77
Pet adoption service,0.77
Pet boarding service,0.77
Puppet theater,0.77
Pet cemetery,0.77
Pet trainer,0.77
Pet friendly accommodation,0.77
Pet funeral service,0.77
Pet groomer,0.77
Pet moving service,0.77
Petroleum products company,0.77
Pets,0.77
Pet store,0.77
Pet supply store,0.77
Horse boarding stable,0.77
Pet sitter,0.77
Occupational safety and health,0.75
Women's health clinic,0.75
Occupational health service,0.75
Municipal health department,0.75
Mental health service,0.75
National health foundation,0.75
Community health centre,0.75
Health,0.75
Health resort,0.75
Health consultant,0.75
Public health department,0.75
Reproductive health clinic,0.75
Men's health physician,0.75
Mental health clinic,0.75
Health insurance agency,0.75
Environmental health service,0.75
Health counselor,0.75
Taxi service,0.74
Tax,0.74
Tax assessor,0.74
Tax attorney,0.74
Tax collector's office,0.74
Tax consultant,0.74
Accountant,0.74
Tax department,0.74
Accounting,0.74
Tax preparation,0.74
Taxicab Stand,0.74
Minibus taxi service,0.74
Taxidermist,0.74
Accounting firm,0.74
Income tax help association,0.74
Taxis,0.74
Accounting software company,0.74
City tax office,0.74
Certified public accountant,0.74
Tax preparation service,0.74
Air taxi,0.74
Psychoneurological specialized clinic,0.73
Alternative medicine clinic,0.73
Abortion clinic,0.73
Pediatric clinic,0.73
Std clinic,0.73
Physical therapy clinic,0.73
Permanent make-up clinic,0.73
Travel clinic,0.73
Sports medicine clinic,0.73
Specialized clinic,0.73
Urology clinic,0.73
Oriental medical clinic,0.73
Hair transplantation clinic,0.73
Pain control clinic,0.73
Chinese medicine clinic,0.73
Oriental medicine clinic,0.73
Ayurvedic clinic,0.73
Dental clinic,0.73
Ophthalmology clinic,0.73
Medical clinic,0.73
Orthopedic clinic,0.73
Plastic surgery clinic,0.73
Otolaryngology clinic,0.73
Fertility clinic,0.73
Walk-in clinic,0.73
Sleep clinic,0.73
Acupuncture clinic,0.73
Free clinic,0.73
Tenant ownership,0.72
Vehicle shipping agent,0.72
Place of worship,0.72
Apprenticeship center,0.72
Screen printer,0.72
Printer ink refill store,0.72
Printer repair service,0.72
Printing,0.72
Printing equipment and supplies,0.72
Printing equipment supplier,0.72
Print services,0.72
Print shop,0.72
Screen printing shop,0.72
Shipyard,0.72
Screen printing supply store,0.72
Shipbuilding and repair company,0.72
Shipping and mailing,0.72
Shipping and mailing service,0.72
Shipping company,0.72
Shipping equipment industry,0.72
Shipping service,0.72
Ship building,0.72
3D printing service,0.72
Banner printing service,0.72
Invitation printing service,0.72
Marriage or relationship counselor,0.72
Courier & shipping services,0.72
Custom label printer,0.72
Digital printer,0.72
Fingerprinting service,0.72
Blueprint service,0.72
Digital printing service,0.72
Commercial printer,0.72
Pest control service,0.71
Computer hardware manufacturer,0.68
Hardware training institute,0.68
Hardware store,0.68
Educational testing service,0.65
Ministry of Education,0.65
Education center,0.65
Higher education,0.65
Educational supply store,0.65
Educational institution,0.65
Private educational institution,0.65
Educational consultant,0.65
Public educational institution,0.65
Board of education,0.65
Education,0.65
Department of education,0.65
Education and culture,0.65
Vitamin & supplements store,0.64
Sports nutrition store,0.64
Nutritionist,0.64
Massage,0.58
Massage supply store,0.58
Massage therapist,0.58
Sports massage therapist,0.58
Erotic massage,0.58
Foot massage parlor,0.58
Thai massage therapist,0.58
Thai massage,0.58
Travel agency,0.55
Travel lounge,0.55
Travel services,0.55
Travel,0.55
Travellers lodge,0.55
